Rating,Title,Review
5.0,Terrific,nice READ MORE
5.0,Fabulous!,good at low cost like samsung brand. READ MORE
5.0,Super!,"Even though it is a 4 gb phone its lags, i have enabled +4gb ram still it lags, and the phone is being used on normal bases no games or social networking. READ MORE"
3.0,Did not meet expectations,Worst product and then not help Flipkart... READ MORE
5.0,Super!,Good product READ MORE
3.0,Good,Awesome READ MORE
4.0,Value-for-money,"Overall good phone under 10k... Camera is average. Performance is below average. Battery backup, design, screen are very good... READ MORE"
5.0,Excellent,That was pretty good READ MORE
5.0,Highly recommended,Value for money READ MORE
5.0,Super!,Super READ MORE
5.0,Terrific,EXCELLENT ☺️👍 READ MORE
5.0,Best in the market!,Nice READ MORE
5.0,Perfect product!,It's really  amazing  product  thank you flipkart READ MORE
3.0,Just okay,Problematic mobile  voice  screen shot hanging etc READ MORE
5.0,Fabulous!,Excellent condition and excellent work thank you flipkart READ MORE
4.0,Really Nice,In my three days using I think that it is ok READ MORE
3.0,Worst experience ever!,Worst READ MORE
5.0,Worth every penny,Nice READ MORE
4.0,Pretty good,Mindblowing READ MORE
3.0,Very poor,Very very bad performance I never forget this type off mobile READ MORE
5.0,Best in the market!,Excellent READ MORE
4.0,Good choice,Camera quality is not so good it can be better in other phone of same budget READ MORE
5.0,Worth every penny,Best phone under this budget READ MORE
5.0,Worth every penny,Awesome 👍 READ MORE
4.0,Wonderful,Super READ MORE
4.0,Worth the money,Good one.. In this rate... READ MORE
5.0,Classy product,Mobile is good but back camer is not good READ MORE
5.0,Mind-blowing purchase,Best phone READ MORE
5.0,Must buy!,Nice product 👍👍👍👍 READ MORE
3.0,Utterly Disappointed,Picture quality is very poor. READ MORE
5.0,Simply awesome,The best in this range..... READ MORE
5.0,Best in the market!,Thank you flipcart READ MORE
5.0,Terrific,Osm product READ MORE
4.0,Nice product,Good quality 👌 READ MORE
5.0,Super!,Super READ MORE
5.0,Best in the market!,Not bad product at this range and good for parentss use who do need extra todays features... READ MORE
4.0,Pretty good,Nice READ MORE
5.0,Best in the market!,This product is really nice 😍😊😍. I love it 💗😍 READ MORE
5.0,Excellent,Value for money READ MORE
5.0,Terrific purchase,Great product. READ MORE
3.0,Waste of money!,Worst product from samsung/Flipkart READ MORE
3.0,Moderate,Not good old fichar READ MORE
5.0,Best in the market!,Excellent as buject READ MORE
3.0,Useless product,Very worst hanging problem READ MORE
3.0,Could be way better,Not satisfied with the camera and battery READ MORE
4.0,Good choice,good READ MORE
5.0,Mind-blowing purchase,Best features.. READ MORE
4.0,Really Nice,Good quality .... READ MORE
4.0,Nice product,Good READ MORE
5.0,Terrific,very good mobile READ MORE
5.0,Highly recommended,Very good READ MORE
3.0,Hated it!,Lag working READ MORE
5.0,Excellent,Nice product ☺️ READ MORE
4.0,Pretty good,Nice phone ar this price READ MORE
5.0,Brilliant,Bought for my mother in law. She is very happy. Nice phone for elder people not good for heavy usage READ MORE
5.0,Worth every penny,Lovely 😍 READ MORE
5.0,Classy product,Elegant product with limited budget READ MORE
5.0,Perfect product!,Superb phone READ MORE
3.0,Terrible product,Very bed performance and not smooth working READ MORE
5.0,Super!,Amezing 🖤🖤 Amezing READ MORE
4.0,Delightful,Good for the range of 10000 READ MORE
5.0,Brilliant,Nice phone but case(cover) is not provided by company... READ MORE
5.0,Perfect product!,Nice READ MORE
5.0,Awesome,Lovely phone READ MORE
5.0,Classy product,Super Good READ MORE
5.0,Must buy!,Worth of price READ MORE
5.0,Great product,It's very good READ MORE
5.0,Must buy!,Good READ MORE
4.0,Pretty good,Value for money... Good quality on this price READ MORE
3.0,Decent product,Best for money READ MORE
5.0,Simply awesome,Nice READ MORE
4.0,Very Good,Camera is not upto the mark but all over mobile is good at this prise range READ MORE
5.0,Must buy!,Nice product...✨️✨️ READ MORE
5.0,Classy product,Super READ MORE
3.0,Could be way better,"Average phone Not soo good  This phone is not for gaming like free fire ,pubg and other high games And phpto quality is also bad or average for normal user READ MORE"
5.0,Fabulous!,Nice READ MORE
5.0,Excellent,Good mobile READ MORE
5.0,Simply awesome,Good READ MORE
5.0,Best in the market!,Nice product READ MORE
5.0,Terrific,Overall good at all features READ MORE
5.0,Excellent,Excellent phone 😊 READ MORE
5.0,Best in the market!,Nic READ MORE
5.0,Terrific,Super READ MORE
4.0,Worth the money,Camera is not good and phone is best usage for normal use READ MORE
5.0,Fabulous!,Excellent mobile READ MORE
5.0,Mind-blowing purchase,Good READ MORE
3.0,Decent product,Good product 👍 READ MORE
5.0,Perfect product!,It's very good READ MORE
5.0,Best in the market!,Nice READ MORE
5.0,Great product,Prodak very good READ MORE
5.0,Worth every penny,Beautiful phone READ MORE
3.0,Horrible,Mobile touching problem READ MORE
4.0,Nice product,avarage camera but littile bit disspointi in 50mp camera quality  overall avarage value for money READ MORE
4.0,Pretty good,Nice READ MORE
3.0,Did not meet expectations,Bad quality READ MORE
5.0,Super!,Superb READ MORE
4.0,Value-for-money,Back camera is very good and front camera nice. Battery is most powerful . That is all excited. READ MORE
5.0,Great product,Very good READ MORE
5.0,Best in the market!,Superb .. READ MORE
3.0,Decent product,Nice phone READ MORE
5.0,Simply awesome,Good quality READ MORE
5.0,Must buy!,Fabulous READ MORE
5.0,Great product,Good mobile READ MORE
5.0,Fabulous!,It is exelent and worth to reasonable price. READ MORE
5.0,Super!,Good product READ MORE
5.0,Classy product,Super READ MORE
4.0,Worth the money,Superrrr READ MORE
5.0,Great product,Super READ MORE
4.0,Good choice,This phone is good for normal usage like photography Good for battery Although display is also nice  But not good for heavy gaming but  Phone is average 🙂🙂 READ MORE
3.0,Just okay,Quite a nice phone in budget Average back camera Front camera is good Lagging from the very first day Nece body READ MORE
4.0,Worth the money,Budget fone READ MORE
5.0,Fabulous!,Good READ MORE
3.0,Hated it!,Very very bad saply system u supplier and ur system 😠😠 READ MORE
5.0,Simply awesome,It's good READ MORE
5.0,Terrific purchase,It is a very good device for the price. But the camera is not very special READ MORE
5.0,Excellent,Very Nice and best product..... READ MORE
5.0,Simply awesome,Good Service Provided and Nice Mobile READ MORE
5.0,Super!,Super phone bettry performance super READ MORE
3.0,Does the job,Looks wise awesome..... Overall it's an gud phone READ MORE
5.0,Simply awesome,Lovely READ MORE
3.0,Very poor,Camera quailty is not perfect READ MORE
5.0,Must buy!,Low price and super phone.... thank you Flipkart READ MORE
5.0,Just wow!,Very nice phone in such a low budget READ MORE
3.0,Just okay,"JUST AN AVERAGE MOBILE. CAMERA, BATTERY BACKUP AND PERFORMANCE ALL ARE AVERAGE. VALUE FOR MONEY PRODUCT. If your are looking for performance then don't go for this. READ MORE"
5.0,Great product,Good READ MORE
5.0,Terrific purchase,Very Good READ MORE
3.0,Useless product,Very slow device READ MORE
3.0,Absolute rubbish!,device not working proprely READ MORE
5.0,Great product,Nice READ MORE
4.0,Really Nice,Nice 👌 READ MORE
3.0,Worthless,"Camera quality is too poor, As mentioned on web site 50MP. But it is not for the same READ MORE"
4.0,Good quality product,Nice mobile value for money READ MORE
5.0,Awesome,Good phone in price READ MORE
5.0,Classy product,Love flipkart READ MORE
5.0,Great product,Very good Camara  Fast delivery READ MORE
5.0,Excellent,Good READ MORE
5.0,Great product,Touch and display quality is very fine. READ MORE
5.0,Excellent,Awsome READ MORE
5.0,Brilliant,Thanku so much all flipkart team READ MORE
5.0,Terrific purchase,Very nice phone very nice good quality Samsung READ MORE
3.0,Worst experience ever!,Camera waste... Download very slow... Samsung process waste... Snapdragon processor super...  This phone Samsung xynos process... Waste.... READ MORE
5.0,Classy product,NICE PRODUCT READ MORE
5.0,Terrific purchase,Valuable product....At low cost specification is really good.. READ MORE
4.0,Pretty good,Do that phone have 3 finger screenshot?? I like all features except that screenshot through power button n volume button... READ MORE
5.0,Great product,Excellent READ MORE
5.0,Brilliant,Ok READ MORE
5.0,Mind-blowing purchase,Good READ MORE
4.0,Really Nice,Very good READ MORE
5.0,Brilliant,Nice READ MORE
4.0,Nice product,Nice product READ MORE
5.0,Wonderful,EXCELLENT READ MORE
5.0,Fabulous!,EXCELLENT READ MORE
5.0,Fabulous!,EXCELLENT READ MORE
5.0,Highly recommended,EXCELLENT READ MORE
3.0,Worthless,Price as well not enough reward for it. More less to satisfy READ MORE
4.0,Very Good,Good for parents READ MORE
5.0,Best in the market!,Delivery Boy Is Very Good READ MORE
5.0,Wonderful,Happy READ MORE
4.0,Nice product,Very good in budget READ MORE
5.0,Great product,Nice mobile READ MORE
5.0,Classy product,Nice phone READ MORE
5.0,Mind-blowing purchase,Excellent READ MORE
5.0,Classy product,Good 👍 READ MORE
5.0,Perfect product!,Nice phone READ MORE
5.0,Mind-blowing purchase,Delivery boy good READ MORE
3.0,Not recommended at all,Not good READ MORE
3.0,Moderate,"More weight like bricks, not advisable for womens and old age people, pls avoid READ MORE"
5.0,Must buy!,Good product and Super performance READ MORE
3.0,Utterly Disappointed,It has too much of lag. The processor is very bad READ MORE
5.0,Classy product,Value for money READ MORE
5.0,Great product,Just wow READ MORE
5.0,Best in the market!,Nice prudect READ MORE
3.0,Value-for-money,"Decent phone for this price range. Also Flipkart started adding shipping charges for the plus customers saying secured package charge, this is just cheating the plus customers. READ MORE"
4.0,Pretty good,Perfect mobile READ MORE
5.0,Terrific purchase,Ok good READ MORE
5.0,Brilliant,Nice READ MORE
3.0,Very poor,Mobile over heat in few time uses. READ MORE
5.0,Awesome,Good READ MORE
5.0,Mind-blowing purchase,Good look and services READ MORE
4.0,Value-for-money,Nice phone READ MORE
5.0,Best in the market!,Very nice READ MORE
5.0,Terrific purchase,Good quality READ MORE
5.0,Mind-blowing purchase,Good product and good battery back-up READ MORE
5.0,Worth every penny,again good mobile from samsung READ MORE
5.0,Wonderful,Just Go For IT. Dont Think Twice  Best In The Budet! READ MORE
3.0,Worst experience ever!,Camera low quality READ MORE
5.0,Excellent,But full READ MORE
5.0,Highly recommended,Very nice product 👍👍👍 READ MORE
3.0,Does the job,Very slow phone READ MORE
5.0,Brilliant,Good product READ MORE
3.0,Nice,Ok READ MORE
4.0,Value-for-money,Good quality worthable price READ MORE
3.0,Decent product,Good price READ MORE
5.0,Fabulous!,Good READ MORE
3.0,Unsatisfactory,Useless phone don't buy READ MORE
5.0,Terrific purchase,good mobile READ MORE
5.0,Terrific purchase,Very nise mobile READ MORE
3.0,Decent product,Should support 5g READ MORE
5.0,Best in the market!,All is very good READ MORE
5.0,Terrific purchase,Good READ MORE
5.0,Excellent,Owsm READ MORE
5.0,Super!,Good READ MORE
5.0,Excellent,Very good features READ MORE
5.0,Super!,Superb Samsung Confidence ...👍👍👌👌 READ MORE
4.0,Really Nice,Good READ MORE
5.0,Brilliant,Best READ MORE
4.0,Very Good,good 👍 READ MORE
5.0,Perfect product!,Good READ MORE
5.0,Excellent,"I love this mobile,good READ MORE"
5.0,Great product,Super mobile READ MORE
3.0,Nice,10 days use heating problem READ MORE
4.0,Good choice,Nice product READ MORE
5.0,Wonderful,Nice READ MORE
5.0,Super!,Good in looks but camera is less impressive READ MORE
5.0,Wonderful,Nice READ MORE
3.0,Not recommended at all,In this phone all function is  bad READ MORE
3.0,Fair,Nice 👍🙂 READ MORE
5.0,Just wow!,Good READ MORE
3.0,Did not meet expectations,"Just wort you money, don't buy this product, processor is very slow, camera quality is very bad compare to 50 mp and sound system is very noise READ MORE"
3.0,Useless product,Lage issue READ MORE
3.0,Absolute rubbish!,Experience in Flipkart next order no only for last order experience share all friends READ MORE
4.0,Value-for-money,Good READ MORE
5.0,Just wow!,Excellent READ MORE
3.0,Decent product,Best low budget mobile. For normal use. READ MORE
5.0,Mind-blowing purchase,Good READ MORE
5.0,Terrific purchase,Nice READ MORE
5.0,Must buy!,good READ MORE
5.0,Super!,Very  Great READ MORE
5.0,Best in the market!,Excellent 👌 READ MORE
5.0,Fabulous!,BEST MOBILE.. READ MORE
5.0,Simply awesome,Awesome product in this range READ MORE
5.0,Highly recommended,Good READ MORE
5.0,Simply awesome,Very nice phone READ MORE
5.0,Best in the market!,My best mobile READ MORE
3.0,Does the job,Little bit lagging READ MORE
3.0,Useless product,"It's lagging from the day one, had a expectations of smooth experience at least for a year READ MORE"
5.0,Worth every penny,Nyc READ MORE
5.0,Fabulous!,Flipkart is good work READ MORE
5.0,Worth every penny,Good mobile READ MORE
5.0,Wonderful,Gud product READ MORE
5.0,Excellent,Good READ MORE
5.0,Simply awesome,Good quality READ MORE
3.0,Could be way better,Nice READ MORE
5.0,Awesome,Very good performance READ MORE
3.0,Decent product,its nice phone to keep at home and design is vary average not look like in photos how they have displayed in images and ui also the same like old one no great changes :/ READ MORE
5.0,Must buy!,Good device under budget! READ MORE
3.0,Terrible product,Phone not good camera is very bad Money west not buy phone READ MORE
3.0,Worst experience ever!,dont buy too slow keeps on hanging READ MORE
3.0,Good,Average product READ MORE
3.0,Useless product,Touch is very slow READ MORE
5.0,Simply awesome,Very Fast Delivery And Awesome Product READ MORE
4.0,Pretty good,Very nice READ MORE
5.0,Mind-blowing purchase,Nice product in this price range READ MORE
5.0,Excellent,Good Product. Thankyou Flipkart! READ MORE
3.0,Horrible,"Worst camera, even other brands price range 7k  would do a better job. Didn't expect this from samsung, lost the trust. READ MORE"
4.0,Delightful,Over all good READ MORE
3.0,Fair,It's ok READ MORE
5.0,Simply awesome,Nice READ MORE
3.0,Expected a better product,Just okay but don't buy anyone 😞😞 READ MORE
5.0,Simply awesome,Super model READ MORE
4.0,Very Good,Looking good but bad performance. READ MORE
5.0,Wonderful,Super mobile READ MORE
5.0,Awesome,Awesome mobile READ MORE
5.0,Mind-blowing purchase,Good READ MORE
5.0,Terrific purchase,Super READ MORE
5.0,Excellent,BRILLIANT PHONE LOVE IT READ MORE
4.0,Value-for-money,Nice READ MORE
3.0,Slightly disappointed,Frist day hanging mobile READ MORE
5.0,Worth every penny,good READ MORE
4.0,Really Nice,Good READ MORE
5.0,Excellent,Good product READ MORE
5.0,Perfect product!,It's good one for beginners.. Me purchased for mom  happy with Samsung f13 READ MORE
5.0,Wonderful,Very good product ❤ READ MORE
3.0,Just okay,Nyc READ MORE
5.0,Super!,Samsung mobile is the  best ever Android. READ MORE
5.0,Highly recommended,Value of money READ MORE
5.0,Highly recommended,Good READ MORE
5.0,Super!,Very beautiful phone 😍  And looking awesome ☺️ New generation hands set 🥰 READ MORE
5.0,Simply awesome,Awesome product.... Must buy READ MORE
5.0,Classy product,Fantastic READ MORE
5.0,Just wow!,Nice mobile READ MORE
3.0,Does the job,Good bat not bad READ MORE
3.0,Hated it!,"Performance is very poor , lags very much .. not recommended READ MORE"
3.0,Unsatisfactory,"Don't buy mobile on Flipkart platform now it's return policy have been changed,  they not refund when mobile quality not like u. READ MORE"
3.0,Slightly disappointed,Not good. READ MORE
3.0,Does the job,Built quality is not gud plastic Battary gud Normal phone READ MORE
3.0,Expected a better product,Camera quality is very poor. READ MORE
4.0,Very Good,Not bad READ MORE
5.0,Brilliant,I am so happy this product READ MORE
5.0,Terrific purchase,Value for money. READ MORE
5.0,Mind-blowing purchase,Khub bhalo READ MORE
3.0,Unsatisfactory,This phone is too slow don't buy and flipkart is worst they don't even provide a return READ MORE
5.0,Best in the market!,Great device from samsung mobile and i loved it for this price no other devices gives this much specifications Love you samsung India loved it.....! READ MORE
5.0,Highly recommended,Best mobile in this price. READ MORE
4.0,Very Good,Good READ MORE
5.0,Simply awesome,This prices is best phone READ MORE
5.0,Best in the market!,Good product and excellent features READ MORE
4.0,Good quality product,Good READ MORE
4.0,Worth the money,It's a bit lagging but overall a good phone. READ MORE
5.0,Simply awesome,Good phone READ MORE
5.0,Super!,Good READ MORE
5.0,Excellent,Very very very nice good READ MORE
5.0,Best in the market!,Working fine. READ MORE
5.0,Simply awesome,Awesome. READ MORE
4.0,Nice product,Ph is good but hang problem READ MORE
5.0,Terrific purchase,Good READ MORE
4.0,Delightful,Good READ MORE
3.0,Unsatisfactory,Phone is really brittle and it's a disaster product from Samsung. Won't recommend this to anyone READ MORE
3.0,Nice,I have been using it since last 15 days and it's been hanging alot now itself. Otherwise its a very nice product READ MORE
4.0,Very Good,Awesome 👍😎 READ MORE
5.0,Best in the market!,Samsung is All The  Best READ MORE
5.0,Perfect product!,Good Product READ MORE
5.0,Perfect product!,Super 💯👌 READ MORE
5.0,Excellent,good phone READ MORE
3.0,Worst experience ever!,Very bad experience READ MORE
5.0,Excellent,Not bad READ MORE
3.0,Nice,Ok READ MORE
4.0,Nice product,Good READ MORE
5.0,Mind-blowing purchase,Worth buying it 😉 READ MORE
5.0,Classy product,Battery backup also very good and excellent READ MORE
5.0,Wonderful,Nyc READ MORE
4.0,Very Good,According to budget 12k it's good. Battery backup very well. READ MORE
5.0,Terrific purchase,Excellent 👍 READ MORE
3.0,Decent product,Phone is slow READ MORE
5.0,Must buy!,Nice phone READ MORE
5.0,Terrific purchase,Best phone READ MORE
3.0,Good,Thanks flipkart READ MORE
3.0,Worst experience ever!,"F series is failure series, without ear phone also ear phone mode is activating READ MORE"
5.0,Super!,Nice phone READ MORE
3.0,Worthless,Very worst product READ MORE
3.0,Hated it!,Battery backup not ok READ MORE
5.0,Perfect product!,Nice READ MORE
3.0,Fair,Very fast delivery thanks filipkart READ MORE
5.0,Excellent,Battry  long taim READ MORE
5.0,Simply awesome,Not good performance READ MORE
5.0,Mind-blowing purchase,AWESOME ... Mind-blowing purchase READ MORE
3.0,Does the job,Ok at this price. Can't expect much... READ MORE
5.0,Simply awesome,Good READ MORE
5.0,Classy product,Best in the midlevel phone for elders READ MORE
4.0,Good quality product,It's a nice smart phone but about delivery my delivery is too late so deliver on time READ MORE
3.0,Fair,I am using this phone from a week and it's hanging alot and also slow working process and reaction time is also a bit slow. Not a Very good phone to buy READ MORE
5.0,Just wow!,Nice phone...Good phone with good price... READ MORE
5.0,Fabulous!,Nice READ MORE
5.0,Must buy!,Spr 😘😘 READ MORE
5.0,Highly recommended,Nice READ MORE
5.0,Simply awesome,Super READ MORE
5.0,Perfect product!,Ok READ MORE
5.0,Worth every penny,Nice product READ MORE
5.0,Perfect product!,Go for it And buy it amazing phone Amazing look Amazing camera Amazing battery Wonderful phone READ MORE
5.0,Fabulous!,Good guality READ MORE
5.0,Mind-blowing purchase,Amazing😍😍🤩 model READ MORE
5.0,Super!,Exellent.... READ MORE
5.0,Terrific,Very good at this price READ MORE
5.0,Awesome,Best phone in this price range ❤️  Thanks Flipkart for this 🙂 READ MORE
3.0,Nice,Average experience 🖖 READ MORE
4.0,Good quality product,Good product READ MORE
4.0,Really Nice,Superb phone READ MORE
5.0,Great product,Good mobile READ MORE
5.0,Mind-blowing purchase,All good READ MORE
4.0,Pretty good,"Good one , value for money READ MORE"
3.0,Nice,Not bad not good.. READ MORE
4.0,Delightful,Good  product READ MORE
5.0,Terrific,Amazing READ MORE
4.0,Really Nice,"Writing review after 1 month.the Samsung mobile is the best off other Nice battery backup, looking so God Design is best thanks filifkart READ MORE"
5.0,Terrific purchase,Good product READ MORE
3.0,Bad quality,"Within 3 months facing audio related issues, no sound, had to restart the device frequently READ MORE"
5.0,Terrific purchase,Very nice mobile I like it😍 READ MORE
3.0,Just okay,Nic READ MORE
5.0,Awesome,Great READ MORE
5.0,Awesome,Amazing phone in the range READ MORE
4.0,Really Nice,Very good 🥰 READ MORE
5.0,Awesome,ok READ MORE
5.0,Simply awesome,Supper READ MORE
4.0,Value-for-money,Good READ MORE
5.0,Just wow!,Product is best but packing very bad READ MORE
5.0,Fabulous!,Very good 👍 READ MORE
5.0,Classy product,Good READ MORE
4.0,Nice product,Gud READ MORE
5.0,Highly recommended,Super quality READ MORE
3.0,Absolute rubbish!,Front camera not good and touch pad poor READ MORE
5.0,Fabulous!,"Decent performance👉👍👈,  Good display,  Huge battery🔋,  No idea about ram plus 😑 Premium look... READ MORE"
5.0,Awesome,Ok READ MORE
5.0,Worth every penny,This phone is wonderful.. I love this hone READ MORE
4.0,Delightful,Good to purchase with flipcart READ MORE
4.0,Very Good,nice READ MORE
5.0,Excellent,Good READ MORE
3.0,Absolute rubbish!,"Don't Buy Samsung Phones, It's Very Slow Performance Zero READ MORE"
4.0,Nice product,Worth for the price good READ MORE
4.0,Value-for-money,"Nice mobile, nice customer service READ MORE"
5.0,Classy product,Fastest delivery and nice product.. READ MORE
5.0,Just wow!,good READ MORE
3.0,Not recommended at all,Not good READ MORE
4.0,Good quality product,Colour bad 😞😞 READ MORE
5.0,Highly recommended,Good READ MORE
3.0,Utterly Disappointed,no worth of money its processor is very slow  its not been still 10 days my phone is started to lag n it dosent work properly so i request not buy this product it is waste of money n also has a slow processer😤 READ MORE
5.0,Best in the market!,The phone was ok READ MORE
5.0,Terrific,Good READ MORE
4.0,Good choice,Perfect READ MORE
3.0,Horrible,Bad performance READ MORE
5.0,Must buy!,I got best deal with this phone. Best phone for normal use. READ MORE
5.0,Excellent,Very nice product READ MORE
4.0,Good quality product,Ok good READ MORE
4.0,Worth the money,Good product READ MORE
4.0,Nice product,Very cool design Camera quality decent READ MORE
5.0,Fabulous!,Awesome READ MORE
5.0,Great product,Good. READ MORE
3.0,Good,Movie lovers don't go for it!!!! Display is very poor.... READ MORE
5.0,Awesome,Nice mobile samsung f13 READ MORE
5.0,Brilliant,Nice product READ MORE
5.0,Just wow!,Good READ MORE
5.0,Great product,It's nice Smart phone And design of this phone is pretty cool READ MORE
5.0,Mind-blowing purchase,Thanks READ MORE
3.0,Good,Best product price range READ MORE
3.0,Don't waste your money,Worst because my phone can't working properly sometime sound error or slow down sound READ MORE
5.0,Awesome,Nice phone in low budget I am happy thanks to flipkart READ MORE
4.0,Really Nice,Yes it is a very good deal must buy this.. READ MORE
4.0,Wonderful,Better READ MORE
5.0,Just wow!,Value for money 9499 best mobile READ MORE
5.0,Awesome,Very nice READ MORE
5.0,Fabulous!,Nice Phone  very confertable READ MORE
5.0,Brilliant,Worth the money!!! READ MORE
5.0,Best in the market!,Super Product  I Love This READ MORE
3.0,Good,Overall okk in this price segment READ MORE
3.0,Does the job,Ok READ MORE
4.0,Nice product,Good at this price READ MORE
5.0,Worth every penny,Nice READ MORE
5.0,Excellent,Good mobile READ MORE
3.0,Useless product,"Very very very very poor quality phone.                              On top of that, Flipkart service is very bad. Never buy from Flipkart. Waste products seller READ MORE"
4.0,Nice product,Good Android phone for normal use READ MORE
5.0,Awesome,Nice READ MORE
5.0,Brilliant,Very good READ MORE
3.0,Useless product,Adaptor not working and mobile hang READ MORE
5.0,Must buy!,Nice READ MORE
5.0,Wonderful,Excellent mobile which fits the budget READ MORE
4.0,Very Good,Product was good in this price but courier service experience are very bad READ MORE
5.0,Mind-blowing purchase,I am so happy but voice low and good quality READ MORE
3.0,Just okay,Bad READ MORE
5.0,Mind-blowing purchase,Good.. I am sorry. Before 1 month.  If I am night road walk mobile see. By other 2 people bike come to alone walk mobile lost therif  God READ MORE
5.0,Classy product,Nice mobile READ MORE
3.0,Don't waste your money,Hanging moblie 1 week waste READ MORE
5.0,Super!,Very good smart phone made by Samsung in good price. I recommend to middleclass family to go with it. Thank you READ MORE
3.0,Nice,It is really bad phone.. I have ever used. It hangs a lot. And is very slow READ MORE
5.0,Terrific purchase,Nice READ MORE
5.0,Mind-blowing purchase,Overall good. READ MORE
5.0,Perfect product!,This phone is awesome 👍 i liked it to much READ MORE
5.0,Brilliant,Very good  product READ MORE
3.0,Good,Average phone but in this price fine READ MORE
3.0,Terrible product,Very slow phone. Sometimes hangs. READ MORE
5.0,Fabulous!,Good 👍 👍 👍 👍 READ MORE
5.0,Wonderful,Nice product READ MORE
5.0,Must buy!,Good READ MORE
5.0,Excellent,Very very very nice READ MORE
5.0,Great product,Nice READ MORE
5.0,Classy product,Good product READ MORE
5.0,Super!,VERY GOOD READ MORE
5.0,Terrific,It was guddd READ MORE
4.0,Nice product,Over All Good READ MORE
3.0,Good,Better mobile READ MORE
5.0,Super!,Good product thanks you flipkart READ MORE
4.0,Delightful,Okay okay product. READ MORE
4.0,Delightful,Yha the product is good READ MORE
3.0,Good,Good battery bad processor...lags a lot..speed is low READ MORE
5.0,Must buy!,Excellent work nice looking mobile thanks Flipkart READ MORE
5.0,Great product,I'm so happy READ MORE
5.0,Brilliant,Good choice READ MORE
4.0,Very Good,Camera dull but over all nice product READ MORE
5.0,Best in the market!,V good READ MORE
3.0,Does the job,Everything is fine but the phone performance is very slow READ MORE
5.0,Wonderful,Good product Go for it READ MORE
5.0,Terrific,"Best in the budget, need to improve design by samsung READ MORE"
4.0,Pretty good,Super READ MORE
5.0,Fabulous!,Nice READ MORE
5.0,Excellent,Excellent phone excellent delivery boy service i  m very happy READ MORE
3.0,Horrible,Not good phone. READ MORE
5.0,Just wow!,Nice READ MORE
4.0,Worth the money,Very good mobile READ MORE
3.0,Not good,Camera quality is very poor. Display quality is quite good. Battery is average. Charger and cable material quality is very poor. READ MORE
4.0,Good choice,Good mobile READ MORE
5.0,Mind-blowing purchase,Nyc phone READ MORE
3.0,Fair,Speeker voice not good very low READ MORE
5.0,Mind-blowing purchase,Good smartphone READ MORE
5.0,Just wow!,good READ MORE
5.0,Wonderful,Awesome READ MORE
3.0,Worst experience ever!,No good READ MORE
4.0,Really Nice,Good READ MORE
4.0,Nice product,"Good not bad,.!? READ MORE"
5.0,Awesome,Nice READ MORE
5.0,Awesome,Nice phone value of money 😍 READ MORE
3.0,Does the job,Not so good. It's laging READ MORE
5.0,Excellent,Best colletti READ MORE
4.0,Good quality product,It's nice budget phone READ MORE
4.0,Good quality product,Value for money READ MORE
3.0,Don't waste your money,Hanged frequently...... Not working properly READ MORE
5.0,Perfect product!,Excellent READ MORE
3.0,Just okay,Camera quality is not good. READ MORE
3.0,Nice,Good but they can provide better than this mobile in this price segment READ MORE
5.0,Fabulous!,Good READ MORE
5.0,Best in the market!,Very good phone if your budget is low then must by READ MORE
4.0,Value-for-money,Good d READ MORE
3.0,Moderate,Camera clarity not good READ MORE
5.0,Best in the market!,Best phone in this price range ... I love this phone😍 READ MORE
5.0,Simply awesome,In this price range Samsung has done a outstanding job READ MORE
5.0,Best in the market!,Ph is very good 👍👍👍👍 READ MORE
4.0,Good quality product,Nice phone .. Battery backup amazing READ MORE
5.0,Just wow!,Very good READ MORE
4.0,Pretty good,👍 Good READ MORE
5.0,Perfect product!,Good performance READ MORE
5.0,Highly recommended,Very nice phone in this price READ MORE
5.0,Best in the market!,Awesome READ MORE
3.0,Very poor,"After 10 days of use the phone started hanging out and now it is out of order, no touch screen working, unable to switch off, the Samsung has loaded with jam of many unnecessary apps, that is not required even at this range. Trying to contact Flipkart/ Samsung for resolution...I had purchased this set in BBD sale, feeling cheated... don't buy this one Samsung galaxy F13...the worst set of Samsung... READ MORE"
3.0,Decent product,Battery back-up is very bad.don't waste money READ MORE
5.0,Simply awesome,Good READ MORE
4.0,Worth the money,Nice mobile READ MORE
5.0,Perfect product!,Very nice READ MORE
5.0,Classy product,Nice READ MORE
5.0,Best in the market!,Super product READ MORE
4.0,Nice product,"I gifted to my uncle.Overall quality is good.For normal and day do day use it is good.Performance wise good for normal use,but bad for gaming purpose and heavy task. READ MORE"
3.0,Unsatisfactory,Slow hanging problem waste of money READ MORE
3.0,Just okay,Camera not like a 50 mp just like a 20 mp READ MORE
5.0,Great product,Good READ MORE
5.0,Terrific,Very good READ MORE
4.0,Nice product,Mobile is good and is delivered in a day's time READ MORE
3.0,Did not meet expectations,"Worst product, useless READ MORE"
5.0,Terrific,Very good 👍 thanks READ MORE
5.0,Super!,Excellent service and thanks READ MORE
5.0,Worth every penny,Good product READ MORE
5.0,Best in the market!,Good mobile READ MORE
5.0,Wonderful,Super READ MORE
5.0,Mind-blowing purchase,Brilliant READ MORE
4.0,Pretty good,Nice READ MORE
5.0,Must buy!,Very nice phone READ MORE
